Function,rlde_best,rlde_worst,rlde_mean,rlde_std,rlde_median,de_best,de_worst,de_mean,de_std,de_median,jade_best,jade_worst,jade_mean,jade_std,jade_median,lshade_best,lshade_worst,lshade_mean,lshade_std,lshade_median,shade_best,shade_worst,shade_mean,shade_std,shade_median
F17,9.114142363483243,74.49121194616077,25.12910920977625,11.748327388344123,21.789574720940728,0.000693299477911296,0.47033258698408886,0.059495482971827406,0.12320641564570362,0.004285154325072435,0.002029540163123246,20.51941118624651,6.064864555645406,8.738736502948043,0.49983141206754356,6.146382805116199e-05,137147.27739852213,4719.952754919634,24597.024887546784,0.48426150684293107,0.022694985476180582,20.5792313092003,10.718267023167027,9.85556373795488,14.22051319925578
F18,0.19537106113280078,3.3071592855786633,1.5826984018001131,0.7671667059420407,1.6421763246190997,0.44867250235629874,1.427090608503109,1.072110481910979,0.2500729131876638,1.124991636393251,0.49495936298898435,1.958673010768328,1.1231317243685193,0.2799311635361077,1.1015521163656556,0.09498963325539972,0.5520894005128363,0.3487282026386308,0.11140210899003754,0.35041324643162963,0.7251759763173781,1.9078832457119952,1.3858203600414638,0.2716544952352192,1.4248708676387136
F19,1.3021059540293722,81.06865508647701,26.626563551569237,20.37558082535863,22.35878248244196,1.8549994913195051,37.203058729898046,21.440249177493232,7.058488719116708,22.600360750808477,0.7925284071862785,4.589235415344124,1.857335929395952,0.7068122991093314,1.7425113154909084,0.6910026232471465,120.0623431543963,5.860974690693113,21.309067128702065,1.625696405581674,0.8426509941958965,2.3375621316791286,1.453357348272537,0.3869148135670056,1.424816991568713
F20,100.0,100.00000000000021,100.00000000000001,4.286875744412088e-14,100.0,100.0,230.46391600799092,108.66714778215224,32.429711908000264,100.0,100.0,208.16563746050917,135.15595788145095,49.723740812793494,100.0,100.0,1992.6293814286078,312.13463834976096,404.0238238330513,100.0,100.0,205.21568063367468,151.73035023700712,51.73344144817178,150.84210082205044
F21,100.00000000000001,105.55312889666496,100.96827135067524,1.4068242286363086,100.00000000000001,100.0,100.00000000000001,100.0,7.78360568894479e-15,100.0,100.0,800.9203279322749,333.2718148735399,190.9614415614237,309.2199522851387,100.0,133.3035522879041,101.91940815047141,6.288390703822131,100.0,100.0,1249.6968937743825,544.5488611572302,380.1181353716095,554.6237972614713
F22,100.0,200.0,126.66666666666674,44.22166387140529,100.0,100.0,200.0,103.33333333333333,17.950549357115015,100.0,100.0,200.0,136.66666666666666,48.189440982669865,100.0,100.0,1637.4365372258903,242.9026817234115,386.21649399428827,100.0,100.0,200.0,130.0,45.8257569495584,100.0
F23,100.00000000000159,310.01583274824304,200.33386109160827,27.141689678693172,200.0,100.0,200.0,116.66666666666667,37.2677996249965,100.0,100.0,100.0,100.0,0.0,100.0,100.0,200.0,113.33333333333333,33.993463423951894,100.0,100.0,200.0,103.33333333333333,17.950549357115015,100.0
F24,476.0755704849257,507.6798035191653,483.33991051084547,10.781099339247346,479.8291142503748,479.6390660514712,506.85854602843017,505.8950135630293,4.87563298045548,506.790180055478,475.8681058805345,506.80793300176254,495.5271986377795,13.836410902887886,506.7901800639733,475.57180387587107,506.81622059732604,481.5001903565025,8.522293463344798,479.2203646866798,475.762818379984,609.8795594824675,507.7390776575013,26.41603914882324,506.7959966869896
F25,457.50022867288243,467.6305731511638,466.2228546903641,3.074784268435071,467.27046618758357,9.737845308015943e-26,467.5904072887744,15.586346909625812,83.93504684950656,9.737845308015943e-26,9.737845308015943e-26,467.27046618758345,15.575682206252782,83.87761566422357,9.737845308015943e-26,9.737845308015943e-26,499.97850478563,347.4366284800356,209.68984974470322,469.18230903897506,9.737845308015943e-26,662.4252097737938,161.34281756398383,250.05892691715408,9.737845308015943e-26
F26,389.51387353732287,398.5753792535901,392.0087858902453,2.729168655907591,390.51703257983417,389.51387350295875,397.9605993557677,394.2268405830019,2.6272094327948214,395.5935186018103,389.51387350295875,766.9385479786959,426.02192922984256,99.1236190635627,395.5935186018103,389.51387350295875,431.04061486813987,398.3479655429549,9.37489232969875,397.9407415783081,389.51387350295875,644.9766449781629,424.82364370388945,73.18745834997308,390.0154530413964
F27,4.440892098500626e-15,422.78034640194477,80.3557463295693,126.93457782155073,4.440892098500626e-15,4.440892098500626e-15,4.440892098500626e-15,4.440892098500626e-15,0.0,4.440892098500626e-15,4.440892098500626e-15,4.440892098500626e-15,4.440892098500626e-15,0.0,4.440892098500626e-15,4.440892098500626e-15,504.6165703255375,230.66757478265885,224.29217750190952,276.66204527483467,4.440892098500626e-15,4.440892098500626e-15,4.440892098500626e-15,0.0,4.440892098500626e-15
F28,994.2290330057779,13327.370845995007,1848.3439168374996,2457.8870978731193,1128.7315317086461,978.5543530689704,1042.4127737160354,994.7470779106542,25.62775159783529,980.6067260281959,5.672436049324969,1086.857539992846,995.9433300662444,186.1588251747557,1043.8675632853613,979.952124943557,116705.21138248328,18558.035764591747,38110.844624265286,988.517169626248,5.119052282710839,1101.154338342849,925.0864698650165,304.0873019683675,1028.2967920741225
F29,4727.583543411378,42818.84202678364,13786.138184897278,8803.225370020395,11786.774466813498,1377.2911960383908,3158.2711454766113,1555.8031402299239,534.1329290577813,1377.6575969293203,7.424401893074706,3158.124151734796,1554.3981859403414,597.7059985225732,1385.5755271212242,1377.243888598838,41798139.79913517,8896913.299681215,14021585.439864745,2439.458986629158,5.428499178993632,3173.7658603371383,1754.093731804536,729.1716015119628,1515.0307149295822
